timestamp,x,y,polarity
0,71,81,0
171,36,25,0
474,36,25,0
522,54,26,1
609,18,123,0
620,42,112,0
664,9,28,0
709,67,100,0
724,13,48,0
743,55,0,0
935,55,120,0
989,16,108,0
1292,16,108,0
1596,16,108,0
1826,67,11,0
1991,53,10,1
1996,63,111,0
2043,67,100,0
2058,53,88,0
2362,53,88,0
2665,53,88,0
2731,42,111,0
2752,42,31,0
2908,42,0,1
3211,42,0,1
3514,42,0,1
3643,38,106,0
3715,46,109,0
3977,54,26,0
4103,127,96,1
4379,41,77,0
4683,41,77,0
4986,41,77,0
5018,38,106,0
5081,38,86,0
5108,91,82,0
5284,33,109,0
5478,27,95,0
5781,27,95,0
5815,37,107,0
5918,37,97,0
6029,9,101,0
6242,103,80,1
6545,103,80,1
6635,65,114,0
6939,65,114,0
6984,37,69,0
7027,44,95,0
7331,44,95,0
7434,37,97,0
7737,37,97,0
8041,37,97,0
8096,110,51,0
8400,110,51,0
8402,105,92,0
8662,43,46,0
8800,49,86,0
9104,49,86,0
9182,79,52,1
9300,36,95,0
9315,21,124,1
9581,122,77,0
9595,31,45,1
9668,80,60,1
9957,17,36,0
10097,80,28,0
10203,56,14,0
10287,126,25,0
10396,126,6,0
10405,80,60,0
10495,31,45,0
10551,16,102,0
10558,8,117,0
10707,1,77,1
10804,7,9,0
10943,22,90,0
11246,22,90,0
11305,110,79,0
11406,14,36,0
11448,71,124,0
11502,39,60,0
11673,26,92,0
11728,40,94,0
11806,97,8,0
11856,48,52,0
11960,60,104,0
12199,127,96,0
12261,64,42,0
12564,64,42,0
12868,64,42,0
13068,28,112,0
13165,40,94,0
13212,126,32,1
13515,126,32,1
13819,126,32,1
14047,40,6,0
14086,43,94,0
14389,43,94,0
14693,43,94,0
14933,121,89,0
15185,98,86,0
15323,93,28,0
15482,3,99,0
15593,43,94,0
15892,41,60,1
15927,121,89,1
16231,121,89,1
16298,14,19,0
16378,3,64,0
16682,3,64,0
16713,67,82,1
16744,98,104,1
16770,41,60,0
16790,32,19,0
17060,6,110,0
17250,98,29,0
17553,98,29,0
